276	448	292
3267	243	8362
3188	289	4617
523	386	8829
5223	824	159
11617	176	4480
4348	68	3499
2922	231	5780
2035	289	11298
3808	824	5126
8718	243	661
3203	419	3849
6601	357	1817
10923	357	1870
123	357	1817
9658	448	93
7596	150	10576
7561	342	11344
8284	289	6269
2029	357	1816
4088	338	3841
1309	448	6872
2016	357	752
32	448	406
11012	289	3872
5465	289	878
1664	125	11337
7033	357	1817
4626	357	1816
3484	62	2312
2539	289	4832
3317	289	3368
9300	62	6607
188	333	8894
2537	289	4533
3039	351	2399
3218	289	2260
1431	779	1430
3872	366	1823
2035	289	4517
51	926	2739
316	289	2274
10759	912	4251
2783	824	3855
3658	796	4496
4025	338	1706
7315	289	4832
5748	824	3204
4820	511	2106
433	289	7576
7666	357	1816
5051	415	684
2095	357	3625
4776	149	1430
2123	779	4341
4224	448	8882
2223	824	5115
11098	448	6637
3689	695	3769
8894	484	1816
6674	926	4586
9948	357	1816
1296	204	4123
1053	357	1261
10919	448	6872
11617	357	1816
2035	243	4517
7859	342	9167
5395	339	2417
115	448	1652
11593	448	10029
11258	448	8371
7131	357	1870
4420	642	11193
6119	912	5502
2044	357	949
10855	289	2853
6825	955	304
4367	351	2049
11430	357	1261
2989	342	7070
632	357	1261
9691	289	2618
2004	643	8843
76	626	645
2457	824	11205
4083	357	1816
3107	149	4109
10829	352	4346
2762	77	2685
6540	912	4850
9257	912	5502
2587	419	1252
6220	289	7369
9147	289	1630
1863	289	4551
1405	289	2458
5630	150	4432
8798	926	3007
898	642	4890
8979	448	3630
7929	448	2202
658	640	4558
6280	357	1816
4715	126	4741
3880	955	2373
3370	357	1870
494	747	11699
5990	342	11344
4913	415	688
4489	955	7488
4319	243	11680
137	938	3055
11781	626	645
5110	339	3387
11303	824	5558
407	912	2706
3947	231	8326
3598	357	1816
5706	448	6416
3855	642	654
285	402	256
11319	243	4885
4509	415	6206
526	169	9348
8012	176	7909
731	149	514
11380	176	8396
7760	912	2705
8500	289	1632
10444	289	6394
3714	149	1927
8038	125	8382
3291	289	5389
10997	289	1015
2494	708	8960
3516	62	5023
11625	352	1816
4416	351	9454
7639	203	3406
665	149	752
5501	289	4037
1003	34	3343
1751	642	3418
995	149	1261
909	201	1905
4890	415	1139
4159	289	11065
8153	642	7243
3190	289	3147
10663	125	212
7353	150	9789
10672	357	1870
5156	176	10390
6213	642	8029
8243	289	2994
6797	289	4832
198	342	9456
9953	441	9811
5818	357	1817
3333	150	11203
3351	94	737
7969	62	4082
8580	176	10134
5109	640	3458
6311	289	10456
4378	824	3265
9566	357	1816
7986	926	1816
7738	176	11653
10209	342	8237
576	17	11104
1339	779	3473
7119	448	6646
2955	642	1688
8801	125	84
10441	640	9415
1382	824	338
8061	125	429
6741	342	5461
3445	351	4082
8957	926	2934
115	448	4838
545	747	10936
1804	125	8
9404	357	1816
8993	125	84
6061	62	3373
4179	289	7049
1783	289	4371
7426	926	1889
9893	640	3066
11058	912	5350
10654	125	84
9278	642	7395
3608	289	7061
5443	779	3473
8944	637	3526
8500	800	11505
5208	448	292
272	284	189
10296	125	334
9831	357	1816
198	448	5018
1266	605	1445
373	243	3071
7644	357	1816
4388	912	4266
10774	342	10687
309	448	5018
5336	415	1134
6593	626	1918
647	912	10924
8782	448	24
2154	149	3552
5990	342	10687
2494	352	4346
3764	415	688
